evidence_id,date,claim,command_or_artifact,result
EV-021,2026-09-11,"The three new CLI options are pinned by golden help fixtures","pytest tests/specify_cli/cli/commands/agent/test_tasks_cli_contract.py","only the 11 pre-existing Windows box-character baselines fail; the three updated fixtures align line-for-line with the live help"
EV-022,2026-09-11,"The tasks-suite failures this slice shows are pre-existing","same three files run in a clone of main 78c1e9ab1","identical 7 failures at baseline (WinError 193 shell hooks, ancestor-directory repo discovery, untracked wps.yaml)"
EV-023,2026-09-12,"D-17: обязательное покрытие блокирует зелёный CI","https://github.com/rusliksu/spec-kitty/actions/runs/34697875221","25 из 29 строк; 86% при пороге 90%; не покрыты resolution.py 1666-1667 и 1669-1670; запущенные шарды успешны"
EV-024,2026-09-12,"D-17: выбор целевой ветки проверен на настоящем worktree","pytest tests/mission_runtime/test_resolution_target_branch.py --cov=mission_runtime.resolution","9 passed; все четыре строки имеют hits=1; RESEARCH и STATUS_STATE выбирают объявленную целевую ветку; основной checkout чист"
EV-025,2026-09-12,"D-18: приёмка не разрешает owned-миссию","python -m specify_cli accept --mission tasks-status-owned-checkout-seam-01M282V3 --diagnose --json","exit 1; mission_not_found; в accept --help отсутствует --owned-checkout; lifecycle не закрыт"
EV-026,2026-09-12,"D-17: тесты обнаруживают подмену целевой ветки","отдельный Python-процесс; read_target_branch_from_meta возвращает main; pytest -k placement_seam_targets_the_owned","2 failed на сравнении main с codex/owned-mission-target; файлы исходного кода не менялись"
EV-027,2026-09-12,"D-19: полный CI обнаружил несовместимость без флага","https://github.com/rusliksu/spec-kitty/actions/runs/34707152033; jobs 103589206790 и 103589206806","test_migration_backfill: 3 failed; test_status_facade_adoption_wp02: 1 failed; TypeError unexpected keyword effective_root; локально воспроизведены те же 3+1 ошибки"
EV-028,2026-09-12,"D-19: прежняя форма вызовов восстановлена без ослабления тестов","pytest tests/integration/test_migration_backfill.py tests/specify_cli/coordination/test_status_facade_adoption_wp02.py tests/tasks/test_move_task_owned_checkout_seam.py tests/status/test_status_owned_checkout_seam.py tests/mission_runtime/test_resolution_target_branch.py tests/specify_cli/migration/test_runtime_state_cutover_placement.py","41 passed; ruff и независимое ревью прошли; None сохраняет позиционный вызов; объявленный effective_root передаётся без изменений"
EV-029,2026-09-13,"D-20: подзадачи и финализация теряли owned-корень","out/owned-surface.xml; tests/tasks/test_finalize_owned_checkout_seam.py; tests/status/test_status_owned_checkout_seam.py","Исходные RED: 2 отказа ревью и 3 отказа финализации; после передачи корня 26 passed"
EV-030,2026-09-13,"D-21: ревью проверяет реальную реализацию single_branch","tests/tasks/test_single_branch_owned_review.py; out/owned-candidate-tests.xml","Полный цикл одобрения проходит с отсутствующей и существующей primary-миссией; неподтверждённая основа и planning-only изменения отклоняются"
EV-031,2026-09-13,"D-22: расхождение копий сообщается без повреждения JSON","out/divergence-red.xml; out/divergence-canonical-green.xml","RED: нет диагностики; GREEN: 3 passed включая архитектурный контроль пути"
EV-032,2026-09-13,"D-23: baseline и состав тестов относятся к owned-изменениям","test_review_gate_uses_owned_baseline_and_real_changed_files; out/owned-candidate-tests.xml","Из двух разных baseline выбран owned; src/feature.py присутствует в изменённых файлах"
EV-033,2026-09-13,"Основной локальный набор проходит","out/owned-candidate-tests.xml","188 passed; ruff passed; finalize-tasks validate_only: 2 already_initialized и 0 изменений"
EV-034,2026-09-13,"Windows-падения и сообщения mypy воспроизводятся до исправлений","out/review-default-regressions.xml; out/baseline-cycle-failures.xml; out/owned-mypy-v2.txt; out/baseline-mypy.txt","121 passed и 6 failed в прежнем наборе; все 6 повторены на b0f58f49; одинаковые 9 mypy-сообщений; новые skip/xfail не добавлялись"
EV-035,2026-09-13,"D-24: состав документа ревью проверяется по имени","https://github.com/rusliksu/spec-kitty/actions/runs/34748862869/job/103701606044; out/golden-count-remediation.xml","В CI golden-count ratchet отклонил подсчёт; assertion усилен проверкой review-cycle-1.md; 24 passed без изменения allowlist"
EV-036,2026-09-13,"На98a156e8 sync-тесты действительно исполнены","https://github.com/rusliksu/spec-kitty/actions/runs/34749402998/job/103703050828","3043 passed; другие sync jobs: 451 существующий skip из-за sync-OFF; YAML и skip-маркеры не менялись"
EV-037,2026-09-13,"D-25: старые вызовы сохраняют выбор основы и ошибку записи","https://github.com/rusliksu/spec-kitty/actions/runs/34749402998/job/103704565746; out/ci-compatibility-red.xml; out/ci-compatibility-green.xml","2 failed воспроизведены; source-only исправление; 42 passed; существующие тесты не изменены; версия98a156e8 получила changes_requested"
EV-038,2026-09-13,D-26: обязательная таблица issues заполнена и проверена,issue-matrix.md; out/wp01-final-approved.json; git show ac70e2554,"Штатный approval отказал до появления таблицы; схема и независимое ревью прошли; обычный повтор approved; документ и snapshot проверены из коммита, force_count=0"
EV-039,2026-09-13,Обычный и полный CI проходят на одной версии f2dc787c6,https://github.com/rusliksu/spec-kitty/actions/runs/34750989826; https://github.com/rusliksu/spec-kitty/actions/runs/34750992322,Обычный:44 success/25 skipped; полный:65 success/4 skipped; 0 failure; critical coverage95%; fast-sync3043 passed; прежние skips раскрыты в trace
EV-040,2026-09-13,Обычная приёмка исходной миссии успешна,out/actual-owned-acceptance.json; git show e474e0d7ca3ee8e74e1e787275ceb2c930f2fba5,exit=0; ok=true; WP01/WP02 approved и accepted; обязательные ошибки/пропуски отсутствуют; meta ссылка проверена из HEAD; primary и frozen journal неизменны; merge не выполнялся
