id,claim,method,result,source_ref,decision_ref
E11,project_egress_refusal / resolve_egress_consent are rebound by value into their consumers; only a call-time import observes a patch on the defining module,"Patched specify_cli.invocation.adapters.resolve_egress_consent and checked identity of the rebound names in four consumer locations","specify_cli.invocation.resolve_egress_consent (module-level from-import): observes patch = False; specify_cli.invocation.propagator.resolve_egress_consent (module-level from-import): observes patch = False; tracker/egress_consent.py:178 (call-time import): observes patch = True (flipped refuse to permit); TSC.project_egress_refusal is TE.project_egress_refusal: False",S01;S13;S15;S16;S17;S18,research.md §5 (test-authoring implication)
E12,"No issue title crosses on the pull direction today, though the capability exists via an unpopulated filters parameter","Read local_service.py:124's call to engine.pull(limit=limit) and SyncEngine.pull's signature at spec_kitty_tracker/sync.py:53-68","LocalTrackerService.sync_pull calls engine.pull(limit=limit) with no filters; SyncEngine.pull(filters=None) therefore builds argv [<cmd>, --json, list] plus an optional --updated-after <date>; beads.py:86-88's --title-contains filter is real but unreached because no caller populates the filters parameter",S01;S11;S31;S32,"research.md (spec.md departure note, US4)"
E13,"Six consent/boundary test suites are green at bb2020fea (baseline, first measurement)","pytest tests/sync/test_consent_resolver_3030.py tests/sync/test_consent_fault_vocabulary_3030.py tests/sync/test_consent_read_fault_3030.py tests/sync/test_consent_field_fault_3030.py tests/invocation/test_adapters.py tests/architectural/test_egress_consent_boundary.py -q, unpiped, exit status trusted",154 passed in 54.07s; EXIT=0,S01,research.md §5 (measurement discipline)
E14,"Same six consent/boundary test suites are green at bb2020fea (baseline, second measurement by the post-specify squad)",Same command re-run independently by the squad's live-evidence lens; unpiped; exit status trusted,154 passed in 51.31s; EXIT=0 -- pass count and exit status agree with E13; wall-clock duration differs across the two separate executions,S02,research.md §5 (flagged discrepancy)
E15,"The local-tracker and CLI-tracker test suites are green at bb2020fea, and separately under the FR-001 mutation probe","pytest tests/sync/tracker/ tests/agent/cli/commands/test_tracker.py -q run twice: once as a plain baseline and once with the FR-001 mutation plugin injected (E06)","Baseline: 519 passed, 1 warning in 64.73s; under FR-001 mutation plugin: 519 passed, 1 warning in 59.65s with bind count 0 -- same pass count both times; the mutation run demonstrates the green is vacuous",S01;S02,research.md §5; data-model.md §2
E16,"sync doctor's consent-health suite is green at bb2020fea",pytest tests/cli/commands/test_sync_doctor_consent_health_3030.py -q; unpiped; exit status trusted,15 passed in 54.64s; EXIT=0,S01;S02,research.md §5
E17,"The SaaS tracker path sends to spec-kitty's own hosted service, not directly to Jira/Linear",Read saas_client.py:247's _base_url resolution and the endpoint path constants on SaaSTrackerClient,_base_url resolves from resolve_runtime_target().resolved_server_url; every endpoint is /api/v1/tracker/... carrying a bearer token and X-Team-Slug,S01;S02;S12,research.md §3 (answer 5); data-model.md §1 (C-002 rationale)
E18,"local_service.py holds zero consent references; saas_client.py holds three (not two as first tabulated) and egress_consent.py holds six","Per-file grep count of egress_consent|project_egress_refusal across all 16 files in src/specify_cli/tracker/","egress_consent.py: 6 (defines project_egress_refusal at :147); saas_client.py: 3 (import line :34 carries two regex matches on one line, plus one call at :329) -- corrected from an earlier tabulation of 2, which was a line count not a match count; local_service.py: 0; the other 13 files: 0",S01;S02;S11;S12;S13,research.md §1
E19,23 src/ and spec_kitty_tracker citations spot-checked by the post-specify squad against the code all resolve to the claimed construct,Citation audit performed by the four-lens squad over the spec's file:line references,Every one of the 23 spot-checked citations resolves to the claimed construct; none were found to cite a non-existent symbol or a wrong line,S02,research.md (squad credibility note)
E20,ConsentLevel has five members total (three dispatchable) at bb2020fea; the evidence base states six,Direct read of sync/consent.py:66-108 at bb2020fea (this research pass),"Members present: PROJECT_LOCAL, MACHINE_INDEX, ENV, ABSENT, UNDETERMINED = 5 total; PROJECT_CONSENT_PRECEDENCE = (PROJECT_LOCAL, MACHINE_INDEX, ENV) = 3 dispatchable, matching the evidence base's dispatchable count; the total-member count of 6 in tracer-evidence-base.md §4 does not match the code",S19,data-model.md §4; research.md §5 (flagged discrepancy)
E21,build_connector has exactly one call site tree-wide in src/,"AST-based exact-membership/exact-count scan over src/, cited by the spec as the basis for FR-015 guard G2",Exactly one call site tree-wide: LocalTrackerService._build_engine at local_service.py:225,S01;S11,spec.md FR-015 guard G2
